[2024-07-03T17:50:33.406Z] debug: 	Saved 15 profiles, took: 67.48ms
[2024-07-03T17:50:53.441Z] debug: 	Saved 15 profiles, took: 69.56ms
[2024-07-03T17:51:13.469Z] debug: 	Saved 15 profiles, took: 68.08ms
[2024-07-03T17:51:33.501Z] debug: 	Saved 15 profiles, took: 67.80ms
[2024-07-03T17:51:53.532Z] debug: 	Saved 15 profiles, took: 70.59ms
[2024-07-03T17:52:13.553Z] debug: 	Saved 15 profiles, took: 67.56ms
[2024-07-03T17:52:33.597Z] debug: 	Saved 15 profiles, took: 71.41ms
[2024-07-03T17:52:53.633Z] debug: 	Saved 15 profiles, took: 69.63ms
[2024-07-03T17:53:13.677Z] debug: 	Saved 15 profiles, took: 72.12ms
[2024-07-03T17:53:33.711Z] debug: 	Saved 15 profiles, took: 71.59ms
[2024-07-03T17:53:53.745Z] debug: 	Saved 15 profiles, took: 72.74ms
[2024-07-03T17:54:13.781Z] debug: 	Saved 15 profiles, took: 70.69ms
[2024-07-03T17:54:33.837Z] debug: 	Saved 15 profiles, took: 81.01ms
[2024-07-03T17:54:53.871Z] debug: 	Saved 15 profiles, took: 69.57ms
[2024-07-03T17:55:13.922Z] debug: 	Saved 15 profiles, took: 72.07ms
[2024-07-03T17:55:33.952Z] debug: 	Saved 15 profiles, took: 68.65ms
[2024-07-03T17:55:53.972Z] debug: 	Saved 15 profiles, took: 68.57ms
[2024-07-03T17:56:14.004Z] debug: 	Saved 15 profiles, took: 69.23ms
[2024-07-03T17:56:34.043Z] debug: 	Saved 15 profiles, took: 71.85ms
[2024-07-03T17:56:54.082Z] debug: 	Saved 15 profiles, took: 69.17ms
[2024-07-03T17:57:14.115Z] debug: 	Saved 15 profiles, took: 71.12ms
[2024-07-03T17:57:34.146Z] debug: 	Saved 15 profiles, took: 71.91ms
[2024-07-03T17:57:54.187Z] debug: 	Saved 15 profiles, took: 69.85ms
[2024-07-03T17:58:14.220Z] debug: 	Saved 15 profiles, took: 77.16ms
[2024-07-03T17:58:34.265Z] debug: 	Saved 15 profiles, took: 80.69ms
[2024-07-03T17:58:54.299Z] debug: 	Saved 15 profiles, took: 72.91ms
[2024-07-03T17:59:14.332Z] debug: 	Saved 15 profiles, took: 71.58ms
[2024-07-03T17:59:34.362Z] debug: 	Saved 15 profiles, took: 69.98ms
[2024-07-03T17:59:54.390Z] debug: 	Saved 15 profiles, took: 70.74ms
[2024-07-03T18:00:14.429Z] debug: 	Saved 15 profiles, took: 70.55ms
[2024-07-03T18:00:34.478Z] debug: 	Saved 15 profiles, took: 72.43ms
[2024-07-03T18:00:54.512Z] debug: 	Saved 15 profiles, took: 83.38ms
[2024-07-03T18:01:14.532Z] debug: 	Saved 15 profiles, took: 70.17ms
[2024-07-03T18:01:29.610Z] error: 	Unable to generate flea offers for trader БТР, no assort found
[2024-07-03T18:01:34.567Z] debug: 	Saved 15 profiles, took: 66.50ms
[2024-07-03T18:01:54.672Z] debug: 	Saved 15 profiles, took: 66.03ms
[2024-07-03T18:02:14.641Z] debug: 	Saved 15 profiles, took: 70.56ms
[2024-07-03T18:02:34.672Z] debug: 	Saved 15 profiles, took: 70.82ms
[2024-07-03T18:02:54.705Z] debug: 	Saved 15 profiles, took: 67.46ms
[2024-07-03T18:03:14.747Z] debug: 	Saved 15 profiles, took: 68.71ms
[2024-07-03T18:03:34.787Z] debug: 	Saved 15 profiles, took: 68.32ms
[2024-07-03T18:03:54.816Z] debug: 	Saved 15 profiles, took: 68.02ms
[2024-07-03T18:04:14.873Z] debug: 	Saved 15 profiles, took: 83.02ms
[2024-07-03T18:04:34.894Z] debug: 	Saved 15 profiles, took: 69.01ms
[2024-07-03T18:04:54.936Z] debug: 	Saved 15 profiles, took: 80.61ms
[2024-07-03T18:05:14.973Z] debug: 	Saved 15 profiles, took: 69.16ms
[2024-07-03T18:05:35.005Z] debug: 	Saved 15 profiles, took: 68.04ms
[2024-07-03T18:05:55.031Z] debug: 	Saved 15 profiles, took: 67.94ms
[2024-07-03T18:06:15.075Z] debug: 	Saved 15 profiles, took: 70.45ms
[2024-07-03T18:06:35.108Z] debug: 	Saved 15 profiles, took: 67.67ms
[2024-07-03T18:06:55.161Z] debug: 	Saved 15 profiles, took: 69.37ms
[2024-07-03T18:07:15.202Z] debug: 	Saved 15 profiles, took: 78.58ms
[2024-07-03T18:07:35.216Z] debug: 	Saved 15 profiles, took: 69.97ms
[2024-07-03T18:07:55.244Z] debug: 	Saved 15 profiles, took: 72.10ms
[2024-07-03T18:08:15.281Z] debug: 	Saved 15 profiles, took: 69.58ms
[2024-07-03T18:08:35.325Z] debug: 	Saved 15 profiles, took: 73.15ms
[2024-07-03T18:08:55.367Z] debug: 	Saved 15 profiles, took: 71.30ms
[2024-07-03T18:09:15.402Z] debug: 	Saved 15 profiles, took: 71.39ms
[2024-07-03T18:09:35.442Z] debug: 	Saved 15 profiles, took: 70.77ms
[2024-07-03T18:09:55.488Z] debug: 	Saved 15 profiles, took: 68.62ms
[2024-07-03T18:10:15.533Z] debug: 	Saved 15 profiles, took: 72.54ms
[2024-07-03T18:10:35.572Z] debug: 	Saved 15 profiles, took: 72.10ms
[2024-07-03T18:10:55.614Z] debug: 	Saved 15 profiles, took: 69.93ms
[2024-07-03T18:11:15.648Z] debug: 	Saved 15 profiles, took: 72.42ms
[2024-07-03T18:11:35.681Z] debug: 	Saved 15 profiles, took: 71.05ms
[2024-07-03T18:11:55.755Z] debug: 	Saved 15 profiles, took: 65.99ms
[2024-07-03T18:12:15.737Z] debug: 	Saved 15 profiles, took: 70.59ms
[2024-07-03T18:12:35.778Z] debug: 	Saved 15 profiles, took: 70.25ms
[2024-07-03T18:12:55.815Z] debug: 	Saved 15 profiles, took: 68.74ms
[2024-07-03T18:13:15.843Z] debug: 	Saved 15 profiles, took: 71.09ms
[2024-07-03T18:13:35.867Z] debug: 	Saved 15 profiles, took: 66.89ms
[2024-07-03T18:13:55.898Z] debug: 	Saved 15 profiles, took: 67.63ms
[2024-07-03T18:14:15.939Z] debug: 	Saved 15 profiles, took: 68.58ms
[2024-07-03T18:14:35.973Z] debug: 	Saved 15 profiles, took: 68.07ms
[2024-07-03T18:14:56.020Z] debug: 	Saved 15 profiles, took: 71.45ms
[2024-07-03T18:15:16.060Z] debug: 	Saved 15 profiles, took: 70.85ms
[2024-07-03T18:15:36.098Z] debug: 	Saved 15 profiles, took: 71.94ms
[2024-07-03T18:15:56.134Z] debug: 	Saved 15 profiles, took: 66.36ms
[2024-07-03T18:16:16.151Z] debug: 	Saved 15 profiles, took: 69.84ms
[2024-07-03T18:16:36.184Z] debug: 	Saved 15 profiles, took: 71.68ms
[2024-07-03T18:16:56.210Z] debug: 	Saved 15 profiles, took: 71.24ms
[2024-07-03T18:17:16.243Z] debug: 	Saved 15 profiles, took: 69.48ms
[2024-07-03T18:17:36.286Z] debug: 	Saved 15 profiles, took: 70.08ms
[2024-07-03T18:17:56.321Z] debug: 	Saved 15 profiles, took: 68.04ms
[2024-07-03T18:18:16.359Z] debug: 	Saved 15 profiles, took: 71.70ms
[2024-07-03T18:18:36.389Z] debug: 	Saved 15 profiles, took: 70.60ms
[2024-07-03T18:18:56.412Z] debug: 	Saved 15 profiles, took: 71.06ms
[2024-07-03T18:19:16.445Z] debug: 	Saved 15 profiles, took: 73.32ms
[2024-07-03T18:19:36.472Z] debug: 	Saved 15 profiles, took: 71.73ms
[2024-07-03T18:19:56.503Z] debug: 	Saved 15 profiles, took: 70.30ms
[2024-07-03T18:20:16.519Z] debug: 	Saved 15 profiles, took: 68.28ms
[2024-07-03T18:20:36.560Z] debug: 	Saved 15 profiles, took: 67.85ms
[2024-07-03T18:20:56.601Z] debug: 	Saved 15 profiles, took: 69.66ms
[2024-07-03T18:21:16.627Z] debug: 	Saved 15 profiles, took: 70.58ms
[2024-07-03T18:21:36.659Z] debug: 	Saved 15 profiles, took: 67.34ms
[2024-07-03T18:21:56.686Z] debug: 	Saved 15 profiles, took: 70.67ms
[2024-07-03T18:22:16.729Z] debug: 	Saved 15 profiles, took: 82.09ms
[2024-07-03T18:22:36.764Z] debug: 	Saved 15 profiles, took: 72.57ms
[2024-07-03T18:22:56.786Z] debug: 	Saved 15 profiles, took: 70.61ms
[2024-07-03T18:23:16.814Z] debug: 	Saved 15 profiles, took: 71.76ms
[2024-07-03T18:23:36.861Z] debug: 	Saved 15 profiles, took: 69.99ms
[2024-07-03T18:23:56.899Z] debug: 	Saved 15 profiles, took: 70.95ms
[2024-07-03T18:24:16.924Z] debug: 	Saved 15 profiles, took: 69.69ms
[2024-07-03T18:24:36.953Z] debug: 	Saved 15 profiles, took: 71.14ms
[2024-07-03T18:24:56.983Z] debug: 	Saved 15 profiles, took: 69.71ms
[2024-07-03T18:25:17.029Z] debug: 	Saved 15 profiles, took: 69.84ms
[2024-07-03T18:25:37.070Z] debug: 	Saved 15 profiles, took: 70.82ms
[2024-07-03T18:25:57.117Z] debug: 	Saved 15 profiles, took: 71.84ms
[2024-07-03T18:26:17.160Z] debug: 	Saved 15 profiles, took: 69.91ms
[2024-07-03T18:26:37.200Z] debug: 	Saved 15 profiles, took: 73.12ms
[2024-07-03T18:26:57.244Z] debug: 	Saved 15 profiles, took: 71.37ms
[2024-07-03T18:27:17.287Z] debug: 	Saved 15 profiles, took: 82.58ms
[2024-07-03T18:27:37.299Z] debug: 	Saved 15 profiles, took: 70.82ms
[2024-07-03T18:27:57.353Z] debug: 	Saved 15 profiles, took: 69.57ms
[2024-07-03T18:28:17.387Z] debug: 	Saved 15 profiles, took: 70.39ms
[2024-07-03T18:28:37.420Z] debug: 	Saved 15 profiles, took: 70.07ms
[2024-07-03T18:28:57.463Z] debug: 	Saved 15 profiles, took: 67.99ms
[2024-07-03T18:29:17.508Z] debug: 	Saved 15 profiles, took: 68.45ms
[2024-07-03T18:29:37.552Z] debug: 	Saved 15 profiles, took: 67.97ms
[2024-07-03T18:29:57.579Z] debug: 	Saved 15 profiles, took: 72.49ms
[2024-07-03T18:30:17.625Z] debug: 	Saved 15 profiles, took: 73.05ms
[2024-07-03T18:30:37.655Z] debug: 	Saved 15 profiles, took: 80.35ms
[2024-07-03T18:30:57.684Z] debug: 	Saved 15 profiles, took: 68.43ms
[2024-07-03T18:31:17.710Z] debug: 	Saved 15 profiles, took: 69.79ms
[2024-07-03T18:31:32.745Z] error: 	Unable to generate flea offers for trader БТР, no assort found
[2024-07-03T18:31:37.720Z] debug: 	Saved 15 profiles, took: 66.57ms
[2024-07-03T18:31:57.749Z] debug: 	Saved 15 profiles, took: 69.23ms
[2024-07-03T18:32:17.786Z] debug: 	Saved 15 profiles, took: 69.97ms
[2024-07-03T18:32:37.840Z] debug: 	Saved 15 profiles, took: 68.95ms
[2024-07-03T18:32:57.876Z] debug: 	Saved 15 profiles, took: 70.53ms
[2024-07-03T18:33:17.906Z] debug: 	Saved 15 profiles, took: 68.92ms
[2024-07-03T18:33:37.939Z] debug: 	Saved 15 profiles, took: 72.03ms
[2024-07-03T18:33:57.981Z] debug: 	Saved 15 profiles, took: 69.56ms
[2024-07-03T18:34:18.006Z] debug: 	Saved 15 profiles, took: 72.49ms
